filename,line,score,detail
Prompt.elm,33-44,-1,hard coded
Main.elm,88-105,-1,hard coded
Brick.elm,194-231,-1,usage of continuous if and else if
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
other,,2,some documentations found
,,-2,build and elm-stuff in repo
,,-2,not all assets files are in a separate directory
